Year,State,City,Total_Population,Total_CO2
2017,CA,San Marcos,191622.0,9772.0
2017,CA,Vallejo,243288.0,0.0
2017,CA,Woodland,119754.0,306885.0
2011,CA,Pomona,299364.0,62419.0
2012,CA,Antioch,211160.0,1421219.0
2012,CA,San Francisco,2487081.0,4.2861651E7
2012,CA,San Joaquin,851793.0,13524.0
2013,CA,Newport Beach,173880.0,11635.0
2014,CA,Carlsbad,223376.0,694602.0
2018,CA,Merced,537491.0,92508.0
2011,CA,Fountain Valley,111912.0,24165.0
2011,CA,South Lake Tahoe,42746.0,111239.0
2011,CA,Tehachapi,28668.0,557216.0
2012,CA,Needles,9798.0,73942.0
2012,CA,Palo Alto,132232.0,173149.0
2013,CA,Napa,323806.0,14830.0
2013,CA,Thousand Oaks,256574.0,22377.0
2015,CA,Delano,105056.0,20606.0
2015,CA,Holtville,12742.0,14665.0
2015,CA,Weed,5092.0,125137.0
2016,CA,Ripon,30832.0,16569.0
2016,CA,Santa Ana,668350.0,1046188.0
2017,CA,Gridley,13202.0,20632.0
2013,CA,Colton,106262.0,221476.0
2015,CA,San Bernardino,2848617.0,5094.0
2017,CA,Anderson,20692.0,986817.0
2013,CA,Avalon,7528.0,22787.0
2015,CA,Chula Vista,528980.0,54256.0
2015,CA,Livermore,176492.0,84383.0
2015,CA,Twentynine Palms,51782.0,45155.0
2016,CA,Turlock,145022.0,967537.0
2017,CA,Manteca,157904.0,17230.0
2011,CA,Ontario,331518.0,288315.0
2011,CA,San Joaquin,845620.0,8522.0
2012,CA,Chowchilla,36112.0,153263.0
2012,CA,Gilroy,101476.0,185602.0
2013,CA,Dixon,37824.0,40735.0
2014,CA,Compton,195434.0,27456.0
2015,CA,Pomona,305106.0,53742.0
2016,CA,Santa Rosa,364950.0,0.0
2017,CA,Madera,358379.0,153558.0
2018,CA,Blythe,39918.0,1133296.0
2012,CA,Coronado,46404.0,156249.0
2012,CA,Redondo Beach,134918.0,423155.0
2014,CA,Susanville,31050.0,31118.0
2014,CA,Vallejo,239288.0,0.0
2015,CA,Shasta Lake,20184.0,68445.0
2016,CA,Lincoln,94042.0,502651.0
2017,CA,Sutter,117418.0,0.0
2018,CA,Fresno,2224892.0,830939.0
2011,CA,Brea,79654.0,60765.0
2011,CA,Santa Maria,200598.0,21195.0
2012,CA,Shasta Lake,20188.0,70460.0
2013,CA,Corona,317972.0,140122.0
2013,CA,Gilroy,103848.0,140237.0
2014,CA,Irwindale,2838.0,30724.0
2015,CA,Sanger,49652.0,58207.0
2016,CA,Redlands,142216.0,1942291.0
2018,CA,Coalinga,33068.0,0.0
2011,CA,South Gate,189212.0,30003.0
2012,CA,Lincoln,88492.0,552740.0
2012,CA,Madera,347443.0,109998.0
2013,CA,San Francisco,2519523.0,4.4719218E7
2015,CA,Fairfield,224822.0,31768.0
2015,CA,Loma Linda,47948.0,60039.0
2016,CA,Carlsbad,226846.0,604655.0
2011,CA,Norwalk,211830.0,54907.0
2012,CA,Irvine,458166.0,3123905.0
2014,CA,Encinitas,124096.0,9258.0
2015,CA,Apple Valley,143618.0,1932090.0
2015,CA,Lancaster,319946.0,0.0
2016,CA,Escalon,15024.0,22934.0
2018,CA,Novato,111310.0,16682.0
2011,CA,Dixon,36924.0,35298.0
2013,CA,Pomona,302274.0,55981.0
2013,CA,Sacramento,2982634.0,8702494.0
2015,CA,Lathrop,40602.0,25709.0
2015,CA,Taft,18940.0,63180.0
2016,CA,Azusa,99498.0,188659.0
2016,CA,Half Moon Bay,25510.0,46897.0
2017,CA,Richmond,219572.0,4778614.0
2018,CA,Industry,404.0,11161.0
2018,CA,Taft,18792.0,66274.0
2011,CA,Chino,159212.0,108901.0
2012,CA,Calipatria,15966.0,140089.0
2012,CA,El Cajon,202982.0,53728.0
2012,CA,Taft,17844.0,43435.0
2013,CA,Vernon,226.0,974564.0
2014,CA,Martinez,74980.0,7071520.0
2015,CA,Avalon,7546.0,22965.0
2015,CA,Banning,61526.0,122240.0
2015,CA,Red Bluff,28168.0,23168.0
2016,CA,Colton,109106.0,198152.0
2017,CA,Yuba City,133414.0,188231.0
2018,CA,El Cajon,206482.0,19116.0
2018,CA,Huron,14576.0,59456.0
2011,CA,Shafter,34886.0,110199.0
2013,CA,Eureka,53790.0,163408.0
2015,CA,Avenal,26494.0,44353.0
2015,CA,Thousand Oaks,257592.0,20013.0
2016,CA,Apple Valley,144664.0,2156578.0
2016,CA,Newport Beach,173294.0,157197.0
2017,CA,Cerritos,101584.0,0.0
2017,CA,Huron,14584.0,55879.0
2017,CA,Lancaster,319236.0,0.0
2017,CA,Rio Vista,17936.0,525728.0
2011,CA,Oxnard,399808.0,581881.0
2011,CA,Truckee,32296.0,20057.0
2013,CA,Orange,3511930.0,192883.0
2013,CA,Torrance,293582.0,7889152.0
2013,CA,West Sacramento,100018.0,783721.0
2014,CA,Avalon,7544.0,22390.0
2014,CA,La Mirada,98112.0,7507.0
2015,CA,Lompoc,87898.0,44974.0
2018,CA,La Mirada,97366.0,8614.0
2018,CA,San Bernardino,2911629.0,8514.0
2018,CA,South San Francisco,135466.0,30859.0
2018,CA,Ventura,946196.0,26000.0
2012,CA,Imperial,244973.0,879419.0
2017,CA,Santee,115800.0,18802.0
2013,CA,El Cajon,204548.0,37520.0
2013,CA,Woodland,113462.0,304891.0
2014,CA,Reedley,50662.0,103201.0
2014,CA,Signal Hill,22862.0,37559.0
2014,CA,Watsonville,105950.0,48689.0
2015,CA,Coalinga,33000.0,198350.0
2016,CA,Portola,3870.0,4463.0
2018,CA,Arroyo Grande,36174.0,169296.0
2018,CA,San Diego,6710329.0,8351006.0
2014,CA,South Gate,189662.0,62089.0
2015,CA,El Segundo,33822.0,5161317.0
2015,CA,Santa Rosa,363936.0,0.0
2016,CA,Santa Clara,2267614.0,1346216.0
2017,CA,Fairfield,231774.0,28635.0
2017,CA,Los Banos,77972.0,220330.0
2017,CA,Victorville,244382.0,904755.0
2011,CA,Maricopa,2324.0,1173165.0
2012,CA,Petaluma,117384.0,35093.0
2012,CA,Santa Clara,2160668.0,1348480.0
2014,CA,Colton,107482.0,214405.0
2016,CA,La Mirada,98240.0,7772.0
2016,CA,Selma,49398.0,9980.0
2011,CA,Anaheim,680404.0,1882147.0
2012,CA,Hanford,108946.0,74184.0
2013,CA,Hollister,72302.0,15109.0
2014,CA,Livingston,27454.0,88936.0
2015,CA,Industry,416.0,10979.0
2016,CA,Cerritos,100872.0,0.0
2016,CA,Norwalk,212004.0,38709.0
2018,CA,Corona,337638.0,49661.0
2011,CA,Huron,13492.0,52810.0
2012,CA,Gridley,13096.0,0.0
2012,CA,Martinez,73662.0,7174540.0
2013,CA,Oxnard,405716.0,1008144.0
2015,CA,Riverside,3365223.0,634743.0
2016,CA,Wheatland,7528.0,23381.0
2017,CA,Lompoc,86612.0,33912.0
2017,CA,Long Beach,934734.0,2924837.0
2018,CA,Monterey,599215.0,0.0
2011,CA,Half Moon Bay,23004.0,48578.0
2011,CA,Vacaville,186454.0,8059.0
2011,CA,Sutter,115062.0,466718.0
2012,CA,Cupertino,119600.0,914330.0
2012,CA,Stockton,593332.0,302106.0
2012,CA,Wheatland,7050.0,10980.0
2014,CA,Holtville,12526.0,21908.0
2014,CA,Los Angeles,1.8925342E7,5.9440042E7
2014,CA,South Lake Tahoe,43034.0,106060.0
2015,CA,Rancho Mirage,35794.0,19980.0
2015,CA,Susanville,30504.0,30328.0
2015,CA,Walnut,60052.0,18453.0
2016,CA,Merced,526586.0,108236.0
2018,CA,Gilroy,117512.0,123719.0
2012,CA,Barstow,46242.0,527157.0
2012,CA,South Gate,189232.0,59282.0
2015,CA,Redlands,141380.0,2275820.0
2016,CA,Sunnyvale,307266.0,35163.0
2011,CA,Folsom,145188.0,1054317.0
2011,CA,Roseville,245192.0,247229.0
2012,CA,Santa Cruz,521248.0,28117.0
2013,CA,Ukiah,31702.0,0.0
2014,CA,Delano,104936.0,26096.0
2014,CA,Redding,182302.0,548419.0
2018,CA,Apple Valley,147016.0,2097700.0
2012,CA,Menlo Park,65660.0,30375.0
2013,CA,Sanger,49180.0,61757.0
2013,CA,South San Francisco,132616.0,60408.0
2016,CA,Ione,14060.0,23812.0
2017,CA,Banning,62304.0,147035.0
2018,CA,Gardena,119442.0,16755.0
2018,CA,La Mesa,119112.0,19077.0
2018,CA,Union City,149118.0,43300.0
2011,CA,Needles,9754.0,51576.0
2011,CA,Oakdale,41888.0,66739.0
2013,CA,Lodi,126332.0,20957.0
2014,CA,Fountain Valley,113430.0,25665.0
2017,CA,Ceres,96928.0,74914.0
2018,CA,Willows,12040.0,61252.0
2011,CA,Riverside,3210952.0,982198.0
